"logFC","logCPM","F","PValue","FDR","gene"
0.458286298762388,4.6896834958193,17.127554087568,9.08062253474083e-05,0.0192284567687493,"NPTN-IT1"
0.325084066294441,6.18048599200695,17.0976187085151,9.17294328909213e-05,0.0192284567687493,"CERS5"
-1.7483157807987,2.94684853500081,16.9376622413319,9.28883608041294e-05,0.0192284567687493,"MTND1P23"
-0.44007845021259,5.72224975734632,17.0176659297106,9.5009043267657e-05,0.0192284567687493,"PSMD8"
-1.06160858360742,7.55175195625689,16.983953822621,9.62795686121555e-05,0.0192284567687493,"SOX4"
-0.453947409591982,4.98892700489063,16.9444383519173,9.82311952137697e-05,0.0192284567687493,"RNF138"
-0.606541882670461,2.19166605723035,16.8028417983785,9.85166504304857e-05,0.0192284567687493,"MED30"
-0.498878990866744,4.595479142467,16.9390796058929,9.86231514743733e-05,0.0192284567687493,"COX5B"
-0.383859975995003,7.62194311371552,16.924694437159,9.87508169706451e-05,0.0192284567687493,"HNRNPUL1"
-0.506480537394633,6.13937599653621,16.8966545846305,0.000100018116374968,0.0192284567687493,"CDK4"
-0.400123439598387,8.38320156511117,16.8786098890903,0.000100717110334283,0.0192284567687493,"PRPF8"
1.35970436239377,2.96283395853126,16.8153267291291,0.000104884056157028,0.0197458802945627,"NEBL"
-2.05386414627341,4.30390071274008,16.7508151885979,0.000106778165155843,0.0198270962833898,"ITGA8"
-0.521322062969166,4.21526203533368,16.6665602786298,0.00011106027486477,0.0203435408890806,"MZT2B"
-0.985338297277766,3.54671453528941,16.6181711826242,0.000113143636383401,0.0204488265490267,"H2AC12"
1.05738613040403,2.27685498965296,16.5401130688122,0.000116960816959376,0.0206055361510655,"GCNT1P3"
-0.5011352887186,5.11318382683567,16.5360700499694,0.000117050998423611,0.0206055361510655,"CEP89"
-0.718393070314849,5.11395416261463,16.4456810248116,0.000121754704264893,0.0211587822603927,"SNORA49"
0.844372957822345,5.87548392481859,16.3686021594198,0.000125552744712825,0.0213556274790716,"BTBD19"
0.466128783318413,4.75106579516187,16.3515152501167,0.000126757086492633,0.0213556274790716,"NDUFV2"
-0.50669779362811,6.16683976693976,16.3043601003413,0.000129111628122938,0.0213556274790716,"ILF2"
-0.924168707202499,2.70953921600128,16.1934031797032,0.000132038266279903,0.0213556274790716,"H2BC13"
-0.731534884828879,4.85563975276308,16.2544760845166,0.000132375223917158,0.0213556274790716,"SNORA74B"
0.704186011530752,5.03010301093651,16.2336953366579,0.00013326854601958,0.0213556274790716,"TTC39B"
-1.07748104382846,2.53310680914829,16.109352040802,0.000133915775412843,0.0213556274790716,"SNORA80D"
0.511831790556419,5.24562036259373,15.9815768177421,0.00014862189736217,0.0228768521452456,"STAG3L5P"
-0.866714949710921,3.40639010013923,15.9777958755631,0.000149165466024808,0.0228768521452456,"H2BC11"
-0.566903190037924,3.53191364139687,15.9784307140034,0.000149615222789218,0.0228768521452456,"PEMT"
0.307458724237268,8.57019038760523,15.9540010904593,0.000150205816372324,0.0228768521452456,"KANSL1"
0.40656462958517,6.14216272631469,15.8757135242086,0.000155482032409425,0.023347880121191,"SNAPC3"
-0.546027352010786,7.39474104518867,15.8531655945834,0.000156968207966229,0.023347880121191,"ITM2B"
0.682200041421467,5.06151414386627,15.8328982021041,0.000158603124785656,0.023347880121191,"LMLN"
0.724156761777413,4.70801758066105,15.8121835995577,0.000160188332812303,0.023347880121191,"EGFL7"
0.618384024631008,15.3987307234689,15.7195917093598,0.00016635970288094,0.0239894231122462,"MALAT1"
-0.391485036429628,6.89170517323732,15.5850343406707,0.000176473717147676,0.0248434683752838,"PRKCSH"
-0.50173175789475,4.35705403688965,15.5896692091972,0.000177014358328871,0.0248434683752838,"CHMP2A"
0.912180273163112,4.11560666196389,15.5600863914001,0.000179236343439346,0.0248434683752838,"MRVI1"
-0.399215750984252,2.87722413303466,15.5420287735223,0.000179613419459816,0.0248434683752838,"MAPKAPK5-AS1"
0.42114217146962,4.38558796241166,15.4993298826525,0.000183881783148302,0.0251769451573257,"RN7SL648P"
-0.316192817623263,4.8610491378822,15.4268048321884,0.000189660595193919,0.0257084936785357,"PDHB"
2.39839251099596,4.89676372558765,15.3644264013164,0.000194895919529179,0.0261237995731971,"IL1B"
0.862215791256336,5.59364227209759,15.3399442157843,0.000196578941827082,0.0261237995731971,"ADGRF5"
-0.298117572497459,6.88910296254512,15.2473005662314,0.000204631837964108,0.0269299472194513,"SRSF2"
0.522177438956693,5.48861122284466,15.158388990513,0.00021295086428675,0.0271946912549684,"POC1B"
0.748272926126913,2.16173867062739,15.1445390297894,0.000213124787154772,0.0271946912549684,"HSPE1P26"
-0.475521402937071,8.07615538199277,15.1469145123602,0.000213834387489333,0.0271946912549684,"NCL"
1.35464972849463,4.515213924795,15.1448469132715,0.000214668532960651,0.0271946912549684,"GGT5"
-0.923757893037261,4.02600590995456,15.0617119117435,0.000223393701911027,0.0275170731048251,"GGH"
-0.665648436037234,3.97599372703824,15.0216989148253,0.000227386037730909,0.0275170731048251,"AURKAIP1"
-0.444159146092908,7.3350897332174,14.999084506171,0.000228244899316934,0.0275170731048251,"TRAM1"
0.933069157852802,2.70709304811686,15.0094215454497,0.000229306287391318,0.0275170731048251,"RN7SL473P"
0.417139049221919,6.32507505918082,14.9779859136649,0.000230418226495145,0.0275170731048251,"FAM222B"
0.906822755723383,5.40570981984585,14.9793517742779,0.000230426771090826,0.0275170731048251,"PLXDC1"
-0.339571391381031,8.11885377678519,14.9675312988572,0.000231423558388053,0.0275170731048251,"SNRNP200"
-0.802780830302913,3.34502629705375,14.9497620541863,0.000233880115568689,0.0275673475350746,"SNORA22"
-0.742372337058315,12.5642729360523,14.8618862407716,0.000242465251329927,0.0281879348300532,"SNORD3A"
-0.466666361466074,4.91371198942731,14.8606308961052,0.000243304195877258,0.0281879348300532,"TBCB"
-0.629966683471646,8.16514311441064,14.8027365033783,0.000248899984463625,0.0285918583847833,"RPS19"
-0.660463651368572,5.57929032813697,14.7474371955856,0.000255440370486145,0.0289467544546333,"FBL"
-0.820961388967369,3.62166798925571,14.7309043258823,0.000258279106813032,0.0289467544546333,"H4C2"
-0.435085606722838,5.57132278176547,14.7075250205215,0.000259938365129961,0.0289467544546333,"PSMD4"
-0.3831446328202,5.5741250797885,14.6955213781847,0.000261311792036708,0.0289467544546333,"BMS1"
-0.364713296605006,5.36508834924579,14.6815284413033,0.000263032125047721,0.0289467544546333,"NOL11"
-0.405715043637335,6.15503870801215,14.6570527738602,0.000265628219705974,0.0289467544546333,"MSH6"
-0.527601913178573,4.45739561448516,14.6547580361312,0.000266937979109492,0.0289467544546333,"VPS72"
-0.937071271165954,4.55036897575847,14.5714163659774,0.000277089330898941,0.0298090942883742,"CEP72"
-0.426098936212647,7.0602482709925,14.5335228498761,0.000280472738985941,0.0299354958815309,"TM9SF2"
-0.424035509099625,3.93356951848196,14.5105119244434,0.000285002927581631,0.0301813647138204,"CIAO2B"
-0.544643940179198,3.17694371501352,14.478922091716,0.000288126273274698,0.0302755940638645,"TFPT"
